id,specie_id,nome,generazione,descrizione,tipo1,tipo2,abilita_base,abilita_nascosta,altezza,peso,categoria,gruppo_uova1,gruppo_uova2,hpstat,atkstat,defstat,spatkstat,spdefstat,spdstat,immagine,debolezza1,debolezza2,debolezza3,debolezza4,debolezza5,debolezza6,debolezza7
1,1,Bulbasaur,I,"Un seme strano è stato piantato sulla sua schiena alla nascita. La pianta germoglia e cresce con questo Pokémon.",Erba,Veleno,Erbaiuto,Clorofilla,0.7,6.9,Seme,Mostro,Erba,45,49,49,65,65,45,images/pokemon_1.png,Fuoco,Ghiaccio,Volante,Psico,,,,
2,2,Ivysaur,I,"Quando la pianta sul suo dorso si gonfia, diventa più forte perché assume più sostanze nutritive.",Erba,Veleno,Erbaiuto,Clorofilla,1,13,Seme,Mostro,Erba,60,62,63,80,80,60,images/pokemon_2.png,Fuoco,Ghiaccio,Volante,Psico,,,,
3,3,Venusaur,I,"Il fiore sulla schiena di questo Pokémon sboccia quando riceve energia solare.",Erba,Veleno,Erbaiuto,Clorofilla,2,100,Seme,Mostro,Erba,80,82,83,100,100,80,images/pokemon_3.png,Fuoco,Ghiaccio,Volante,Psico,,,,
4,4,Charmander,I,"Le fiamme che bruciano alla fine della sua coda indicano la sua forza vitale. Se la coda si spegne, il Pokémon morirà.",Fuoco,,Aiutofuoco,Solarpotere,0.6,8.5,Lucertola,Mostro,Drago,39,52,43,60,50,65,images/pokemon_4.png,Terra,Roccia,Acqua,,,,,
5,5,Charmeleon,I,"Quando diventa arrabbiato, le fiamme sulla sua coda bruciano più intensamente. Non riesce a contenere la sua rabbia.",Fuoco,,Aiutofuoco,Solarpotere,1.1,19.0,Lucertola,Mostro,Drago,58,64,58,80,65,80,images/pokemon_5.png,Terra,Roccia,Acqua,,,,,
6,6,Charizard,I,"Quando vola alto nel cielo, è indistinguibile da una stella cadente. Le fiamme sulla sua coda brillano di intensità.",Fuoco,Volante,Aiutofuoco,Solarpotere,1.7,90.5,Fiamma,Mostro,Drago,78,84,78,109,85,100,images/pokemon_6.png,Roccia,Acqua,Elettro,,,,,
7,7,Squirtle,I,"Quando si ritira nel suo guscio, si contrae leggermente per difendersi dagli attacchi.",Acqua,,Acquaiuto,Copripioggia,0.5,9.0,Tartaruga,Mostro,Acqua 1,44,48,65,50,64,43,images/pokemon_7.png,Elettro,Erba,,,,,,
8,8,Wartortle,I,"La coda di Wartortle è ricoperta di un denso strato di pelliccia. Rimuoverlo provoca irritazione al Pokémon.",Acqua,,Acquaiuto,Copripioggia,1.0,22.5,Tartaruga,Mostro,Acqua 1,59,63,80,65,80,58,images/pokemon_8.png,Elettro,Erba,,,,,,
9,9,Blastoise,I,"Le sue forti spalle lo aiutano a sparare proiettili d'acqua con una forza tale da distruggere un edificio.",Acqua,,Acquaiuto,Copripioggia,1.6,85.5,Marino,Mostro,Acqua 1,79,83,100,85,105,78,images/pokemon_9.png,Elettro,Erba,,,,,,
10,10,Caterpie,I,"Per proteggersi, emette un fetore orribile da ghiandole sotto il suo corpo, aprendo enormi occhi sul dorso.",Coleottero,,Polvoscudo,Fugafacile,0.3,2.9,Baco,Coleottero,,45,30,35,20,20,45,images/pokemon_10.png,Fuoco,Volante,Roccia,,,,,
